title,url,upload_date,duration,view_count,channel
영어가 어려우면 이것만 달달 외우세요!! 미국인의 찜질방 탐방 브이로그 ♨️,https://www.youtube.com/watch?v=xRg5KMfDp7c,20260315,573,15261,캘리쌤 브이로그 영어
"미국 직장인이 매일쓰는 회사 필수 영어표현! 영어 이메일, 회의가 너무 쉬워져요! | 비즈니스 영어 필수 패턴 모음",https://www.youtube.com/watch?v=5PWV2x03hWI,20260308,601,33384,캘리쌤 브이로그 영어
"해외여행 영어 회화 이 영상 하나로 끝내세요! | 푸꾸옥 역대급 뉴월드 풀빌라 리조트 (스타벅스 주문 영어, 여행 필수 영어표현)",https://www.youtube.com/watch?v=oMvROjeGDEA,20260302,649,33489,캘리쌤 브이로그 영어
충격적인 베트남 물가 🇻🇳 미국인이 밥먹듯이 쓰는 여행영어(주문/계산/흥정) | 영어 잘 못해도 원어민처럼 말할 수 있어요! 듣기만 하면 영어가 술술!,https://www.youtube.com/watch?v=LlDev_XadU4,20260222,638,28140,캘리쌤 브이로그 영어
영어 왕초보도 미친 속도로 느는 스피킹 공부법! 무료학습자료 드려요🎁 미국에서 바로 통하는 영어회화 공부법!,https://www.youtube.com/watch?v=h9zUyJG-YHs,20260218,613,25050,캘리쌤 브이로그 영어
"썸 탈때 쓰는 데이트 영어표현 | 미드, 뉴스 공부보다 효과 좋은 원어민 브이로그 | 반복해서 들으면 영어가 입에서 자연스레 나와요",https://www.youtube.com/watch?v=WfViFxbsLBc,20260215,629,16321,캘리쌤 브이로그 영어
7분 만에 끝내는 미국 카페 영어! 미국인이 가장 많이 쓰는 실전 영어표현 | 도움 많이 된다~!,https://www.youtube.com/watch?v=5fALPO_ufdk,20260201,448,23073,캘리쌤 브이로그 영어
이것만 죽어라 외우세요! 반복하면 영어가 입에서 자연스레 나와요. | 3만명 받아간 학습자료 드려요!,https://www.youtube.com/watch?v=UN6GZ4e3AY4,20260125,6184,82047,캘리쌤 브이로그 영어
영어가 어려우면 이것만 달달 외우세요!! 미국인의 이케아 탐방 브이로그 🏠,https://www.youtube.com/watch?v=CmVfFZ9r1Pk,20260118,615,34113,캘리쌤 브이로그 영어
원어민이 쓰는 영어문장 100개 | 영어가 한국어처럼 들려요!,https://www.youtube.com/watch?v=KXc_bp8R0YA,20260111,620,31773,캘리쌤 브이로그 영어
영어가 어려우면 이것만 달달 외우세요!! 영어가 술술 나옵니다!,https://www.youtube.com/watch?v=QaK_GKJLKb8,20251228,408,46366,캘리쌤 브이로그 영어
제가 딱 정해드릴게요. 이렇게 두 달만 해보세요 정말,https://www.youtube.com/watch?v=6pBkxgMqUFQ,20251224,621,39670,캘리쌤 브이로그 영어
[미국인 Vlog] 비싼 수업 받아도 안 알려줘요. 영어 회화가 어렵다면 이 영상 10번만 보세요! | 크리스마스편,https://www.youtube.com/watch?v=Vvqrb-SGrQk,20251221,391,35601,캘리쌤 브이로그 영어
매일 이것만 하세요! 10분만에 챗GPT로 역대급 과외선생님 만들기(무료 프롬프트 선물!🎁),https://www.youtube.com/watch?v=HGLbGms9_iY,20251218,668,38117,캘리쌤 브이로그 영어
[미국인 Vlog]비싼 수업받아도 안알려줘요. 영어회화가 어렵다면 이 영상 10번만 보세요! | 부산 불꽃축제 편,https://www.youtube.com/watch?v=r-m4J3n_po8,20251214,584,45460,캘리쌤 브이로그 영어
원어민도 놀라게 한 영어 공부법! 영어에 미쳤더니 인생이 바뀌었어요!,https://www.youtube.com/watch?v=g5cz8s1akfY,20251213,545,45099,캘리쌤 브이로그 영어
"99%가 모르는 영어 회화 비법, 이대로만 따라하세요. 비싼 해외유학 안가도 영어가 유창해집니다(🎁책출간 기념 이벤트!)",https://www.youtube.com/watch?v=dYShUdBXA8Q,20251209,763,21352,캘리쌤 브이로그 영어
"미국인들이 밥 먹듯이 쓰는 마법의 패턴 10개, 딱 이것만 외우세요! | 저녁에 쓰는 필수 영어표현 | 이것만 달달 외워도 왕초보 탈출합니다!",https://www.youtube.com/watch?v=W_IzxOyPrS4,20251207,778,36114,캘리쌤 브이로그 영어
이것만 달달 외워도 무조건 영어초보 탈출! 미국인의 등산 브이로그 | 영어회화가 어렵다면 딱 10번만 보세요!,https://www.youtube.com/watch?v=K2lb2g9Ul90,20251130,549,38805,캘리쌤 브이로그 영어
미드 백날 들어도 영어 리스닝 안늘어요! 이 3가지 방법이면 영어 고민 끝!,https://www.youtube.com/watch?v=FSrOb9BdpHo,20251129,503,153328,캘리쌤 브이로그 영어
